Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,,Precipitation (in)
Apr,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,48,42.2,39,34,25.4,18,76,53,32,15,8.4,3,29.7,29.7,29.7,0
2,57,47.8,39,28,23.2,12,65,40.3,19,18,10.1,5,29.8,29.7,29.7,0
3,54,45.3,37,41,34.2,19,87,67.1,37,15,8.4,3,29.8,29.7,29.7,0
4,50,45.8,43,45,41.9,39,93,86.4,76,9,6.7,0,29.8,29.8,29.7,0
5,52,45.9,41,41,37.8,30,93,75.3,50,13,6.7,0,29.9,29.8,29.7,0
6,54,43.6,36,37,32,28,81,64.9,41,12,5.5,0,29.9,29.8,29.7,0
7,54,45.6,39,39,35.5,27,93,69.5,35,16,9.1,0,29.7,29.5,29.4,0
8,57,48,41,45,39,34,93,73.4,44,21,8.6,2,29.4,29.4,29.3,0
9,48,42.8,37,45,35.2,23,100,77,40,30,13.8,2,29.3,29.1,29,0
10,45,38.8,36,28,24.8,18,70,58.5,43,26,19.6,12,29.6,29.3,29.1,0
11,46,40.2,32,36,26.2,19,81,59.1,43,24,12.1,2,29.7,29.6,29.6,0
12,50,44.3,39,37,35.9,32,87,72.6,62,21,9.9,0,29.7,29.6,29.4,0
13,55,48.6,41,52,45.9,27,100,91.2,57,39,11.4,0,29.6,29.1,28.9,0
14,43,37.6,34,32,26.8,19,81,65.5,45,29,19.2,8,29.8,29.7,29.7,0
15,41,35.1,30,23,19.3,12,69,53.4,38,22,12.6,6,29.8,29.7,29.6,0
16,41,35.7,28,25,20.4,12,70,54.5,39,31,16.3,8,29.9,29.9,29.8,0
17,41,36.9,32,30,25.4,21,81,64.3,45,20,12,3,29.9,29.8,29.7,0
18,45,39.1,30,37,31.7,27,86,75.2,66,22,11.1,3,29.7,29.6,29.5,0
19,50,44.2,37,43,37.6,25,93,78.6,60,24,14.9,2,29.6,29.4,29.3,0
20,41,37.3,32,34,25.9,19,81,64.2,52,13,8.4,5,29.6,29.5,29.3,0
21,45,38.5,32,41,24.6,16,93,59.1,39,37,22.2,3,29.6,29.3,29,0
22,43,36,30,21,14.5,10,69,43.9,27,24,16.8,6,29.8,29.7,29.6,0
23,41,36.9,32,30,21.2,10,70,53.5,38,20,13.5,2,29.8,29.7,29.6,0
24,48,44.8,41,34,21,16,70,39.8,30,21,13.2,2,29.7,29.6,29.5,0
25,52,45.3,36,36,27.9,7,93,56,16,16,7.9,0,29.8,29.8,29.7,0
26,54,47.1,45,41,33.7,18,87,63.5,24,24,16.9,8,29.8,29.7,29.7,0
27,52,48.6,43,37,29.6,25,76,48.9,35,14,8.7,3,29.9,29.8,29.8,0
28,48,45.4,43,39,37,34,81,73.6,62,21,11.5,0,29.8,29.8,29.8,0
29,54,49,45,46,41.3,36,87,75.2,66,32,20.4,10,29.8,29.6,29.4,0
30,50,48,45,50,47.5,45,100,98.1,82,26,10.8,3,29.5,29.4,29.4,0
